,lambda,ag_s,ae_s,ae_v,ae_t
3957,3528.609620583451,199.5935947653762,858.7543069018667,357.1441999735479,47.835671058530075
3958,3530.4077580495896,199.59022124944258,857.7572365174643,356.4622060247902,47.76902521068944
3959,3532.20681182518,199.5868512879682,856.7640522839773,355.78266348931925,47.702665638343504
3960,3534.006782377159,199.58348487708466,855.774731976198,355.1055591684139,47.63659053766727
3961,3535.8076701727127,199.58012201292843,854.7892535382219,354.4308799573957,47.570798119886994
3962,3537.609475679253,199.57676269164008,853.8075950818542,353.75861284480703,47.50528661112541
3963,3539.412199364435,199.573406909365,852.8297348850043,353.08874491158264,47.44005425224683
3964,3541.2158416961474,199.5700546622526,851.8556513901179,352.42126333023856,47.3750992987055
3965,3543.0204031425296,199.56670594645706,850.8853232026141,351.75615536406207,47.310420020394695
3966,3544.8258841719476,199.56336075813704,849.9187290893545,351.09340836632214,47.24601470149927
3967,3546.6322852530097,199.5600190934551,848.9558479771174,350.4330097794766,47.181881640348365
3968,3548.4396068545634,199.55668094857907,847.9966589510927,349.7749471343919,47.11801914927079
3969,3550.247849445695,199.55334631968046,847.0411412533979,349.1192080495719,47.054425554452095
3970,3552.0570134957297,199.5500152029355,846.0892742816034,348.46578023039444,46.99109919579327
3971,3553.867099474229,199.54668759452494,845.1410375872847,347.81465146835353,46.92803842677113
3972,3555.678107851003,199.54336349063357,844.1964108745739,347.1658096403094,46.86524161430012
3973,3557.490039096092,199.54004288745097,843.2553739987507,346.51924270775413,46.80270713859687
3974,3559.302893679778,199.53672578117096,842.3179069648311,345.87493871607256,46.74043339304514
3975,3561.116672072584,199.53341216799166,841.3839899261728,345.2328857938188,46.67841878406274
3976,3562.9313747452684,199.5301020441156,840.4536031831115,344.5930721520012,46.61666173097075
3977,3564.7470021688405,199.52679540574977,839.5267271815854,343.95548608336367,46.55516066586299
3978,3566.5635548145383,199.52349224910552,838.6033425118098,343.32011596169275,46.493914033478674
3979,3568.3810331538443,199.52019257039854,837.6834299069329,342.68695024111497,46.43292029107526
3980,3570.1994376584807,199.5168963658487,836.7669702417294,342.0559774554093,46.37217790830324
3981,3572.0187688004107,199.51360363168064,835.8539445312956,341.4271862173254,46.31168536708278
3982,3573.8390270518375,199.51031436412285,834.9443339297673,340.8005652179099,46.25144116148132
3983,3575.6602128852014,199.5070285594086,834.038119729046,340.17610322583596,46.19144379759307
3984,3577.482326773194,199.50374621377523,833.1352833575373,339.55378908674163,46.131691793419115
3985,3579.305369188738,199.50046732346445,832.2358063789144,338.93361172257926,46.07218367875044
3986,3581.129340605,199.49719188472238,831.3396704908845,338.31556013096383,46.0129179950507
3987,3582.954241495383,199.49391989379933,830.4468575239716,337.69962338453416,45.95389329534158
3988,3584.7800723335445,199.49065134695016,829.5573494403063,337.08579063031254,45.89510814408831
3989,3586.60683359337,199.48738624043366,828.6711283324479,336.47405108908384,45.83656111708813
3990,3588.434525748992,199.48412457051342,827.788176422197,335.8643940547685,45.77825080135869
3991,3590.2631492747846,199.48086633345685,826.9084760594341,335.25680889380675,45.72017579502821
3992,3592.0927046453617,199.4776115255358,826.0320097209647,334.65128504455083,45.662334707227046
3993,3593.9231923355806,199.47436014302667,825.1587600093819,334.04781201665924,45.604726157980416
3994,3595.754612820541,199.47111218220982,824.288709651938,333.4463793905001,45.54734877810242
3995,3597.586966575579,199.46786763936998,823.421841499429,332.84697681656127,45.49020120909121
3996,3599.4202540762867,199.46462651079625,822.5581385250847,332.2495940148577,45.433282103025114
3997,3601.254475798485,199.46138879278175,821.6975838234897,331.65422077436114,45.37659012246087
3998,3603.089632218243,199.4581544816243,820.8401606094926,331.06084695242004,45.320123940332046
3999,3604.9257238118676,199.45492357362545,819.9858522171422,330.4694624741919,45.263882239849
4000,3606.7627510559187,199.4516960650914,819.1346420986245,329.8800573320791,45.207863714399885
4001,3608.60071442719,199.44847195233234,818.2865138232254,329.29262158517537,45.152067067453444
4002,3610.43961440272,199.44525123166287,817.4414510762896,328.70714535871133,45.09649101246173
4003,3612.2794514597917,199.4420338994018,816.599437658199,328.1236188435085,45.04113427276504
4004,3614.1202260759305,199.438819951872,815.7604574833576,327.54203229543856,44.98599558149719
4005,3615.9619387289054,199.43560938540074,814.924494579192,326.9623760348871,44.93107368149237
4006,3617.804589896725,199.43240219631943,814.091533085157,326.38464044622566,44.8763673251929
4007,3619.6481800576526,199.42919838096378,813.2615572517524,325.80881597727995,44.82187527455739
4008,3621.4927096901843,199.42599793567356,812.4345514395579,325.2348931388193,44.76759630097149
4009,3623.3381792730634,199.42280085679297,811.6105001182677,324.6628625040343,44.71352918515796
4010,3625.184589285278,199.4196071406701,810.7893878657407,324.09271470803,44.659672717088846
4011,3627.031940206056,199.41641678365747,809.9711993670605,323.52444044732096,44.606025695898126
